ID,Language,Why_A_Wrong,Why_B_Wrong,Why_C_Wrong,Review_Status,Reviewer_Comments
36,UK,,"Автомобільне страхування ('Autoversicherung') захищає від фінансових зобов'язань, пов'язаних з автомобільними аваріями, але безпосередньо не стосується основних потреб соціальної безпеки, таких як охорона здоров'я чи безробіття.","Страхування будівель ('Gebäudeversicherung') захищає власників нерухомості від фінансових втрат через пошкодження або знищення їхніх будівель. Це важливо для індивідуальної фінансової безпеки, але не є ключовим елементом системи соціального захисту.",,
36,AR,,"يغطي تأمين السيارات (""Autoversicherung"") الالتزامات المالية المتعلقة بحوادث السيارات، ولكنه لا يعالج بشكل مباشر احتياجات الضمان الاجتماعي الأساسية مثل الرعاية الصحية أو البطالة.","يحمي تأمين المباني (""Gebäudeversicherung"") مالكي العقارات من الخسائر المالية بسبب تلف أو تدمير مبانيهم. إنه مهم للأمن المالي الفردي ولكنه ليس عنصرًا أساسيًا في شبكة الأمان الاجتماعي.",,
37,EN,"""Erste Ministerin/Erster Minister"" (First Minister) is not the standard title used in German states. While it might sound similar, it doesn't hold the same legal or constitutional meaning.","""Premierministerin/Premierminister"" (Prime Minister) is used at the federal level in Germany for the Chancellor.  It's not the correct term for the head of government in the individual states.","""Senatorin/Senator"" is a title used in the city-states of Berlin, Bremen, and Hamburg, which have a different governmental structure than the other Bundesländer.  They are not called Ministerpräsidenten.",,
37,DE,"""Erste Ministerin/Erster Minister"" wird in deutschen Bundesländern nicht als Titel verwendet. Obwohl es ähnlich klingt, hat es nicht die gleiche rechtliche oder verfassungsrechtliche Bedeutung.","""Premierministerin/Premierminister"" wird auf Bundesebene für den/die Bundeskanzler/in verwendet. Es ist nicht der richtige Begriff für den/die Regierungschef/in der einzelnen Bundesländer.","""Senatorin/Senator"" ist ein Titel, der in den Stadtstaaten Berlin, Bremen und Hamburg verwendet wird, die eine andere Regierungsstruktur haben als die anderen Bundesländer. Sie werden nicht Ministerpräsidenten genannt.",,
37,TR,"""Erste Ministerin/Erster Minister"" (Birinci Bakan), Alman eyaletlerinde kullanılan standart bir unvan değildir. Benzer gelse de, aynı yasal veya anayasal anlama sahip değildir.","""Premierministerin/Premierminister"" (Başbakan), Almanya'da federal düzeyde Şansölye için kullanılır.  Bireysel eyaletlerde hükümet başkanı için doğru terim değildir.","""Senatorin/Senator"", Berlin, Bremen ve Hamburg şehir eyaletlerinde kullanılan bir unvandır ve bu eyaletler, diğer Bundesländer'den farklı bir hükümet yapısına sahiptir. Ministerpräsidenten olarak adlandırılmazlar.",,
37,UK,"""Erste Ministerin/Erster Minister"" (Перший міністр) не є стандартним титулом, який використовується в німецьких землях. Хоча це може звучати подібно, воно не має того ж юридичного чи конституційного значення.","""Premierministerin/Premierminister"" (Прем'єр-міністр) використовується на федеральному рівні в Німеччині для позначення Канцлера. Це не правильний термін для голови уряду в окремих землях.","""Senatorin/Senator"" (Сенатор) - це титул, який використовується в містах-землях Берлін, Бремен і Гамбург, які мають іншу урядову структуру, ніж інші землі. Їх не називають Міністрами-президентами.",,
37,AR,"لا يُستخدم لقب ""الوزير الأول"" (Erste Ministerin/Erster Minister) كلقب قياسي في الولايات الألمانية. على الرغم من أنه قد يبدو متشابهًا، إلا أنه لا يحمل نفس المعنى القانوني أو الدستوري.","يُستخدم لقب ""رئيس الوزراء"" (Premierministerin/Premierminister) على المستوى الاتحادي في ألمانيا للمستشار. إنه ليس المصطلح الصحيح لرئيس الحكومة في الولايات الفردية.","يُستخدم لقب ""عضو مجلس الشيوخ"" (Senatorin/Senator) في مدن برلين وبريمن وهامبورغ، والتي لها هيكل حكومي مختلف عن الولايات الأخرى. لا يُطلق عليهم اسم Ministerpräsidenten.",,
38,EN,"A ""Staatenverbund"" (confederation of states) implies a looser alliance where states retain significant sovereignty. Germany's structure is much more integrated than a confederation.",,"A ""Staatenbund"" is synonymous with a confederation, like ""Staatenverbund.""  Germany is not a loose alliance of independent states; it has a strong federal structure.",,
38,DE,"Ein ""Staatenverbund"" impliziert ein lockereres Bündnis, bei dem die Staaten ihre Souveränität weitgehend behalten. Deutschlands Struktur ist viel stärker integriert als ein Staatenverbund.",,"""Staatenbund"" ist gleichbedeutend mit Staatenverbund. Deutschland ist kein loser Bund unabhängiger Staaten, sondern ein föderaler Staat.",,
38,TR,"""Staatenverbund"" (devletler konfederasyonu), devletlerin önemli egemenliklerini koruduğu daha gevşek bir ittifak anlamına gelir. Almanya'nın yapısı bir konfederasyondan çok daha bütünleşiktir.",,"""Staatenbund"", ""Staatenverbund"" ile eş anlamlıdır, yani devletler konfederasyonu. Almanya bağımsız devletlerin gevşek bir ittifakı değildir; güçlü bir federal yapıya sahiptir.",,
38,UK,"""Staatenverbund"" (конфедерація держав) означає вільніший союз, де держави зберігають значний суверенітет. Структура Німеччини набагато більш інтегрована, ніж конфедерація.",,"""Staatenbund"" є синонімом конфедерації, як і ""Staatenverbund"". Німеччина не є вільним союзом незалежних держав; вона має сильну федеральну структуру.",,
38,AR,"""Staatenverbund"" (كونفدرالية الدول) تعني تحالفًا فضفاضًا حيث تحتفظ الدول بسيادة كبيرة. هيكل ألمانيا أكثر تكاملاً بكثير من كونفدرالية.",,"""Staatenbund""  هي مرادف للكونفدرالية، مثل ""Staatenverbund"". ألمانيا ليست تحالفًا فضفاضًا من دول مستقلة؛ لديها هيكل اتحادي قوي.",,
39,EN,Each German state does *not* have its own foreign minister.  Foreign policy is handled exclusively at the federal level by the Federal Foreign Office.,"Germany uses the Euro, which is the common currency for the Eurozone.  Individual states do not have their own currencies.","Germany has a national army, the Bundeswehr.  Individual states do not have their own armies.",,
39,DE,Jedes Bundesland hat *keine* eigene/n Außenminister/in. Die Außenpolitik wird ausschließlich vom Auswärtigen Amt auf Bundesebene geregelt.,"Deutschland verwendet den Euro, die gemeinsame Währung der Eurozone. Einzelne Bundesländer haben keine eigene Währung.","Deutschland hat eine nationale Armee, die Bundeswehr.  Die Bundesländer haben keine eigenen Armeen.",,
39,TR,"Her Alman eyaletinin kendi dışişleri bakanı *yoktur*. Dış politika, yalnızca federal düzeyde Federal Dışişleri Bakanlığı tarafından yürütülür.","Almanya, Euro Bölgesi'nin ortak para birimi olan Euro'yu kullanır.  Eyaletlerin kendi para birimleri yoktur.","Almanya'nın ulusal bir ordusu vardır, Bundeswehr. Eyaletlerin kendi orduları yoktur.",,
39,UK,Кожна федеральна земля Німеччини *не має* власного міністра закордонних справ. Зовнішня політика здійснюється виключно на федеральному рівні Федеральним міністерством закордонних справ.,"Німеччина використовує євро, що є спільною валютою для єврозони. Окремі землі не мають власної валюти.","Німеччина має національну армію, Бундесвер. Окремі землі не мають власних армій.",,
39,AR,لا تملك كل ولاية ألمانية وزير خارجية خاص بها. يتم التعامل مع السياسة الخارجية حصريًا على المستوى الاتحادي من قبل وزارة الخارجية الاتحادية.,تستخدم ألمانيا اليورو، وهي العملة المشتركة لمنطقة اليورو. لا تملك الولايات الفردية عملاتها الخاصة.,ألمانيا لديها جيش وطني، وهو البوندسفير. لا تملك الولايات الفردية جيوشها الخاصة.,,
40,EN,"""Völker, hört die Signale..."" is incorrect.  This phrase is not part of the German national anthem. It might be confused with other patriotic songs or calls to action.",,"""Freude schöner Götterfunken..."" is incorrect. This is the beginning of the ""Ode to Joy"" by Schiller, used in Beethoven's 9th Symphony, which is the anthem of the European Union, not Germany.",,
40,DE,"""Völker, hört die Signale..."" ist falsch. Dieser Satz ist nicht Teil der deutschen Nationalhymne. Er könnte mit anderen patriotischen Liedern oder Aufrufen verwechselt werden.",,"""Freude schöner Götterfunken..."" ist falsch. Dies ist der Beginn von Schillers ""Ode an die Freude"", die in Beethovens 9. Sinfonie verwendet wird, welche die Hymne der Europäischen Union ist, nicht Deutschlands.",,
40,TR,"""Völker, hört die Signale..."" yanlıştır. Bu ifade Alman ulusal marşının bir parçası değildir. Başka vatansever şarkılar veya harekete geçirici mesajlarla karıştırılmış olabilir.",,"""Freude schöner Götterfunken..."" yanlıştır. Bu, Beethoven'ın 9. Senfonisi'nde kullanılan Schiller'in ""Ode to Joy""unun başlangıcıdır ve Avrupa Birliği'nin marşıdır, Almanya'nın değil.",,
40,UK,"""Völker, hört die Signale..."" неправильно. Ця фраза не є частиною німецького національного гімну. Її можна сплутати з іншими патріотичними піснями або закликами до дії.",,"""Freude schöner Götterfunken..."" неправильно. Це початок ""Оди до радості"" Шиллера, яка використовується в 9-й симфонії Бетховена, що є гімном Європейського Союзу, а не Німеччини.",,
40,AR,"""Völker, hört die Signale..."" خاطئة. هذه العبارة ليست جزءًا من النشيد الوطني الألماني. قد يتم الخلط بينها وبين الأغاني الوطنية الأخرى أو دعوات العمل.",,"""Freude schöner Götterfunken..."" خاطئة. هذه هي بداية ""Ode to Joy"" لشيلر، المستخدمة في السيمفونية التاسعة لبيتهوفن، وهي نشيد الاتحاد الأوروبي، وليس ألمانيا.",,
42,EN,The government (die Regierung) proposes laws but doesn't have the final say.  They draft legislation and submit it to Parliament for approval.,,"Courts (die Gerichte) interpret and apply laws, they don't create them. Their role is to ensure laws are followed and applied fairly.",,
42,DE,"Die Regierung schlägt Gesetze vor, hat aber nicht das letzte Wort. Sie entwirft Gesetze und legt sie dem Parlament zur Genehmigung vor.",,"Gerichte interpretieren und wenden Gesetze an, sie schaffen sie nicht. Ihre Aufgabe ist es, sicherzustellen, dass Gesetze befolgt und gerecht angewendet werden.",,
42,TR,"Hükümet (die Regierung) yasaları önerir, ancak son sözü söylemez.  Yasa tasarılarını hazırlar ve onay için Parlamentoya sunarlar.",,"Mahkemeler (die Gerichte) yasaları yorumlar ve uygular, onları yaratmazlar. Rolleri, yasaların uygulanmasını ve adil bir şekilde uygulanmasını sağlamaktır.",,
42,UK,"Уряд (die Regierung) пропонує закони, але не має остаточного слова. Вони розробляють законодавство та подають його на затвердження Парламенту.",,"Суди (die Gerichte) тлумачать та застосовують закони, вони їх не створюють. Їхня роль полягає в тому, щоб забезпечити дотримання та справедливе застосування законів.",,
42,AR,تقترح الحكومة (die Regierung) القوانين ولكن ليس لديها الكلمة الأخيرة.  فهي تصوغ التشريعات وتقدمها إلى البرلمان للموافقة عليها.,,تفسر المحاكم (die Gerichte) القوانين وتطبقها، ولا تقوم بسنها.  ويتمثل دورها في ضمان اتباع القوانين وتطبيقها بشكل عادل.,,
43,EN,"The cost of a party's election campaign is not a grounds for banning it.  Freedom of speech and assembly allow parties to spend on campaigns within legal limits, regardless of how expensive.",,"Criticizing the head of state is also not a valid reason for banning a party.  Freedom of speech protects the right to criticize the government and its officials, which is essential for a healthy democracy.",,
43,DE,"Die Kosten eines Wahlkampfes sind kein Grund für ein Parteienverbot. Meinungs- und Versammlungsfreiheit erlauben Parteien, innerhalb der gesetzlichen Grenzen für Kampagnen auszugeben, unabhängig davon, wie teuer diese sind.",,"Kritik am Staatsoberhaupt zu äußern, ist ebenfalls kein gültiger Grund für ein Parteienverbot. Die Meinungsfreiheit schützt das Recht, die Regierung und ihre Amtsträger zu kritisieren, was für eine gesunde Demokratie unerlässlich ist.",,
43,TR,"Bir partinin seçim kampanyasının maliyeti, partinin yasaklanması için bir gerekçe değildir.  İfade ve toplanma özgürlüğü, partilerin yasal sınırlar dahilinde kampanyalara harcama yapmalarına izin verir, ne kadar pahalı olursa olsun.",,"Devlet başkanını eleştirmek de bir partiyi yasaklamak için geçerli bir neden değildir. İfade özgürlüğü, sağlıklı bir demokrasi için gerekli olan hükümeti ve yetkililerini eleştirme hakkını korur.",,
43,UK,"Вартість виборчої кампанії партії не є підставою для її заборони. Свобода слова та зібрань дозволяє партіям витрачати кошти на кампанії в межах правових обмежень, незалежно від того, наскільки вони дорогі.",,"Критика глави держави також не є вагомою причиною для заборони партії. Свобода слова захищає право критикувати уряд та його посадових осіб, що є важливим для здорової демократії.",,
43,AR,تكلفة الحملة الانتخابية للحزب ليست سببًا لحظره.  حرية التعبير والتجمع تسمح للأحزاب بالإنفاق على الحملات ضمن الحدود القانونية، بغض النظر عن مدى تكاليفها.,,انتقاد رئيس الدولة ليس سببًا وجيهًا لحظر حزب.  حرية التعبير تحمي الحق في انتقاد الحكومة ومسؤوليها، وهو أمر ضروري لديمقراطية سليمة.,,
44,EN,,"The German Federal President (Bundespräsident/in) *is* directly elected by the Federal Assembly (Bundesversammlung), a special body convened solely for this purpose.  This assembly consists of members of the Bundestag and an equal number of delegates chosen by the state parliaments (Landtage).  While not directly chosen by *all* citizens, the President's election is still considered a democratic process rooted in representation.",Members of the state parliaments (Landtagsabgeordnete) are directly elected by citizens within each German state (Bundesland).  These elections are crucial for regional governance and reflect the federal structure of Germany.,,
44,DE,,"Der/Die Bundespräsident/in wird direkt von der Bundesversammlung gewählt, einem speziell zu diesem Zweck einberufenen Gremium. Diese Versammlung besteht aus den Mitgliedern des Bundestages und einer gleichen Anzahl von Delegierten, die von den Landtagen gewählt werden. Obwohl nicht direkt von *allen* Bürgern gewählt, gilt die Wahl des/der Bundespräsidenten/in dennoch als demokratischer Prozess, der in der Repräsentation verwurzelt ist.",Die Landtagsabgeordneten werden direkt von den Bürgern innerhalb jedes Bundeslandes gewählt. Diese Wahlen sind entscheidend für die regionale Regierungsführung und spiegeln die föderale Struktur Deutschlands wider.,,
44,TR,,"Almanya Federal Cumhurbaşkanı (Bundespräsident/in), yalnızca bu amaçla toplanan özel bir organ olan Federal Meclis (Bundesversammlung) tarafından doğrudan seçilir. Bu meclis, Bundestag üyelerinden ve eyalet parlamentoları (Landtage) tarafından seçilen eşit sayıda delegeden oluşur. *Tüm* vatandaşlar tarafından doğrudan seçilmese de, Cumhurbaşkanının seçimi hala temsile dayalı demokratik bir süreç olarak kabul edilir.","Eyalet parlamentolarının üyeleri (Landtagsabgeordnete), her Alman eyaletindeki (Bundesland) vatandaşlar tarafından doğrudan seçilir. Bu seçimler bölgesel yönetim için çok önemlidir ve Almanya'nın federal yapısını yansıtır.",,
44,UK,,"Федерального президента Німеччини (Bundespräsident/in) обирає безпосередньо Федеральні Збори (Bundesversammlung), спеціальний орган, скликаний виключно для цієї мети. Ці збори складаються з членів Бундестагу та рівної кількості делегатів, обраних земельними парламентами (Landtage). Хоча президент не обирається безпосередньо *всіма* громадянами, його обрання все ж вважається демократичним процесом, що ґрунтується на представництві.",Членів земельних парламентів (Landtagsabgeordnete) обирають безпосередньо громадяни кожної федеральної землі Німеччини (Bundesland). Ці вибори є важливими для регіонального управління та відображають федеральну структуру Німеччини.,,
44,AR,,يتم انتخاب الرئيس الاتحادي الألماني (Bundespräsident/in) مباشرة من قبل الجمعية الاتحادية (Bundesversammlung)، وهي هيئة خاصة يتم عقدها لهذا الغرض فقط. تتكون هذه الجمعية من أعضاء البوندستاغ وعدد متساوٍ من المندوبين الذين تختارهم برلمانات الولايات (Landtage). على الرغم من عدم اختياره مباشرة من قبل *جميع* المواطنين، لا يزال انتخاب الرئيس يعتبر عملية ديمقراطية متجذرة في التمثيل.,يتم انتخاب أعضاء برلمانات الولايات (Landtagsabgeordnete) مباشرة من قبل المواطنين داخل كل ولاية ألمانية (Bundesland). هذه الانتخابات حاسمة للحكم الإقليمي وتعكس الهيكل الاتحادي لألمانيا.,,
45,EN,,"Accident insurance ('Unfallversicherung') covers accidents at work or on the way to/from work, not long-term care needs.","Household contents insurance ('Hausratsversicherung') protects your belongings against damage or theft, not healthcare costs.",,
45,DE,,"Die Unfallversicherung deckt Unfälle am Arbeitsplatz oder auf dem Weg zur/von der Arbeit ab, nicht die Kosten der Pflegebedürftigkeit.","Die Hausratsversicherung schützt Ihr Eigentum vor Schäden oder Diebstahl, nicht die Kosten der Pflege.",,
45,TR,,"Kaza sigortası ('Unfallversicherung'), iş yerinde veya işe giderken/işten gelirken meydana gelen kazaları kapsar, uzun süreli bakım ihtiyaçlarını değil.","Ev eşyaları sigortası ('Hausratsversicherung'), eşyalarınızı hasara veya hırsızlığa karşı korur, sağlık giderlerini değil.",,
45,UK,,"Страхування від нещасних випадків («Unfallversicherung») покриває нещасні випадки на роботі або по дорозі на/з роботи, а не потреби в довгостроковому догляді.","Страхування домашнього майна («Hausratsversicherung») захищає ваше майно від пошкодження або крадіжки, а не витрати на охорону здоров'я.",,
45,AR,,"يغطي تأمين الحوادث (""Unfallversicherung"") الحوادث في العمل أو في الطريق من/إلى العمل، وليس احتياجات الرعاية طويلة الأجل.","يغطي تأمين محتويات المنزل (""Hausratsversicherung"") ممتلكاتك ضد التلف أو السرقة، وليس تكاليف الرعاية الصحية.",,
46,EN,,The state doesn't typically engage in the direct sale of goods like food and clothing. This is primarily the role of private businesses within a market economy.,"While Germany has a strong social safety net, newspapers are not provided free of charge to all residents.  Freedom of the press is guaranteed, and various newspapers are available for purchase.",,
46,DE,,Der Staat verkauft in der Regel keine Waren wie Lebensmittel und Kleidung direkt. Dies ist in erster Linie die Aufgabe privater Unternehmen in einer Marktwirtschaft.,"Obwohl Deutschland über ein starkes soziales Sicherheitsnetz verfügt, werden Zeitungen nicht allen Einwohnern kostenlos zur Verfügung gestellt. Die Pressefreiheit ist gewährleistet, und verschiedene Zeitungen können käuflich erworben werden.",,
46,TR,,Devlet genellikle yiyecek ve giyecek gibi malların doğrudan satışıyla ilgilenmez. Bu öncelikle piyasa ekonomisindeki özel işletmelerin rolüdür.,"Almanya'nın güçlü bir sosyal güvenlik ağı olmasına rağmen, gazeteler tüm sakinlere ücretsiz olarak sağlanmaz. Basın özgürlüğü garanti altındadır ve çeşitli gazeteler satın alınabilir.",,
46,UK,,"Держава зазвичай не займається безпосереднім продажем товарів, таких як продукти харчування та одяг. Це, перш за все, роль приватних підприємств у ринковій економіці.","Хоча Німеччина має сильну систему соціального захисту, газети не надаються безкоштовно всім мешканцям. Свобода преси гарантована, і різні газети можна придбати.",,
46,AR,,لا تشارك الدولة عادةً في البيع المباشر للسلع مثل المواد الغذائية والملابس. هذا هو في المقام الأول دور الشركات الخاصة في اقتصاد السوق.,على الرغم من أن ألمانيا لديها شبكة أمان اجتماعي قوية، إلا أن الصحف لا تُقدم مجانًا لجميع السكان. حرية الصحافة مكفولة، وتتوفر العديد من الصحف للشراء.,,
47,EN,,The German state does pay Kindergeld (child benefit). This is a monthly payment provided to families for each child to help with the costs of raising them. It's a key part of Germany's family policy.,The German state supports Museen (museums) through funding and other initiatives.  This is seen as part of its role in preserving cultural heritage and promoting education and the arts.,,
47,DE,,"Der deutsche Staat zahlt Kindergeld. Dies ist eine monatliche Zahlung an Familien für jedes Kind, um die Kosten für die Erziehung zu decken. Es ist ein wichtiger Bestandteil der deutschen Familienpolitik.",Der deutsche Staat unterstützt Museen durch Finanzierung und andere Initiativen. Dies wird als Teil seiner Rolle bei der Erhaltung des kulturellen Erbes und der Förderung von Bildung und Kunst angesehen.,,
47,TR,,"Alman devleti Kindergeld (çocuk yardımı) öder. Bu, çocuk yetiştirme maliyetlerine yardımcı olmak için ailelere sağlanan aylık bir ödemedir. Almanya'nın aile politikasının önemli bir parçasıdır.","Alman devleti, fonlama ve diğer girişimler yoluyla Müzeleri (Museen) destekler. Bu, kültürel mirası koruma ve eğitim ve sanatı teşvik etmedeki rolünün bir parçası olarak görülmektedir.",,
47,UK,,"Німецька держава виплачує Kindergeld (дитячі гроші). Це щомісячна виплата сім'ям на кожну дитину, щоб допомогти з витратами на її виховання. Це ключова частина сімейної політики Німеччини.",Німецька держава підтримує музеї (Museen) через фінансування та інші ініціативи. Це розглядається як частина її ролі у збереженні культурної спадщини та просуванні освіти та мистецтва.,,
47,AR,,"تدفع الدولة الألمانية ""Kindergeld"" (بدل الأطفال). هذه دفعة شهرية تُقدم للعائلات لكل طفل للمساعدة في تكاليف تربيتهم. إنه جزء أساسي من سياسة الأسرة في ألمانيا.",تدعم الدولة الألمانية المتاحف من خلال التمويل والمبادرات الأخرى. يُنظر إلى هذا على أنه جزء من دورها في الحفاظ على التراث الثقافي وتعزيز التعليم والفنون.,,
48,EN,The Bundesrat (Federal Council) represents the 16 German states at the federal level and is a crucial part of the legislative process.  It is explicitly mentioned in the Basic Law as a constitutional body.,"The Bundespräsident/in (Federal President) is the head of state of Germany. While largely ceremonial, the President has important duties like signing laws and appointing judges. This role is defined in the Basic Law.",,,
48,DE,Der Bundesrat vertritt die 16 Bundesländer auf Bundesebene und ist ein wesentlicher Bestandteil des Gesetzgebungsprozesses. Er ist im Grundgesetz ausdrücklich als Verfassungsorgan genannt.,"Die Bundespräsidentin/der Bundespräsident ist das Staatsoberhaupt Deutschlands. Obwohl größtenteils zeremoniell, hat der/die Präsident/in wichtige Aufgaben wie die Unterzeichnung von Gesetzen und die Ernennung von Richtern. Diese Rolle ist im Grundgesetz festgelegt.",,,
48,TR,"Bundesrat (Federal Konseyi), 16 Alman eyaletini federal düzeyde temsil eder ve yasama sürecinin önemli bir parçasıdır. Temel Kanun'da açıkça anayasal bir organ olarak belirtilmiştir.","Bundespräsident/in (Federal Cumhurbaşkanı), Almanya devlet başkanıdır. Büyük ölçüde törensel olmakla birlikte, Cumhurbaşkanı'nın yasaları imzalamak ve hakimleri atamak gibi önemli görevleri vardır. Bu rol, Temel Kanun'da tanımlanmıştır.",,,
48,UK,Бундесрат (Федеральна рада) представляє 16 німецьких земель на федеральному рівні та є важливою частиною законодавчого процесу.  Він прямо згаданий в Основному законі як конституційний орган.,"Федеральний президент/ка (Bundespräsident/in) є главою держави Німеччина. Хоча ця посада значною мірою церемоніальна, президент/ка має важливі обов'язки, такі як підписання законів та призначення суддів. Ця роль визначена в Основному законі.",,,
48,AR,يمثل Bundesrat (المجلس الاتحادي) الولايات الألمانية الـ 16 على المستوى الفيدرالي، وهو جزء أساسي من العملية التشريعية.  مذكور صراحةً في القانون الأساسي كهيئة دستورية.,Bundespräsident/in (الرئيس الاتحادي) هو رئيس دولة ألمانيا.  على الرغم من أن الرئيس/ة يتمتع/تتمتع بصفة احتفالية إلى حد كبير، إلا أن لديه/لديها واجبات مهمة مثل توقيع القوانين وتعيين القضاة.  هذا الدور محدد في القانون الأساسي.,,,
49,EN,Teachers deliver education but don't set overall policy. They implement the curriculum decided by the Bundesländer.,,"While the Family Ministry deals with family-related policies, education falls under the purview of the Bundesländer.",,
49,DE,"Lehrer und Lehrerinnen unterrichten, bestimmen aber nicht die allgemeine Bildungspolitik. Sie setzen die von den Bundesländern festgelegten Lehrpläne um.",,"Das Familienministerium befasst sich mit familienbezogenen Richtlinien, die Bildung fällt jedoch in die Zuständigkeit der Bundesländer.",,
49,TR,"Öğretmenler eğitimi verir, ancak genel politikayı belirlemezler. Bundesländer tarafından belirlenen müfredatı uygularlar.",,"Aile Bakanlığı aile ile ilgili politikalarla ilgilenirken, eğitim Bundesländer'in yetki alanına girer.",,
49,UK,"Вчителі здійснюють навчання, але не визначають загальну політику. Вони реалізують навчальну програму, затверджену федеральними землями.",,"Хоча Міністерство у справах сім'ї займається питаннями сімейної політики, освіта належить до компетенції федеральних земель.",,
49,AR,المعلمون يقدمون التعليم ولكنهم لا يضعون السياسة العامة. إنهم ينفذون المنهج الذي تقرره الولايات.,,بينما تتعامل وزارة الأسرة مع السياسات المتعلقة بالأسرة، فإن التعليم يقع ضمن اختصاص الولايات.,,
50,EN,"A ""freie Zentralwirtschaft"" (free central economy) is contradictory. A central economy implies state control, negating the ""free"" aspect.",,"A ""gelenkte Zentralwirtschaft"" (controlled central economy) is a planned economy where the state dictates production and distribution, unlike Germany's system.",,
50,DE,"Eine ""freie Zentralwirtschaft"" ist ein Widerspruch in sich. Zentralwirtschaft impliziert staatliche Kontrolle, was dem Aspekt ""frei"" widerspricht.",,"Eine ""gelenkte Zentralwirtschaft"" ist eine Planwirtschaft, in der der Staat Produktion und Verteilung diktiert, im Gegensatz zum deutschen System.",,
50,TR,"""freie Zentralwirtschaft"" (serbest merkezi ekonomi) çelişkilidir. Merkezi bir ekonomi, devlet kontrolünü ima eder ve ""serbest"" yönünü reddeder.",,"""gelenkte Zentralwirtschaft"" (kontrollü merkezi ekonomi), devletin üretimi ve dağıtımı dikte ettiği planlı bir ekonomidir, Almanya'nın sisteminden farklı olarak.",,
50,UK,"""freie Zentralwirtschaft"" (вільна централізована економіка) – це суперечність. Централізована економіка передбачає державний контроль, що суперечить аспекту ""вільна"".",,"""gelenkte Zentralwirtschaft"" (контрольована централізована економіка) – це планова економіка, де держава диктує виробництво та розподіл, на відміну від німецької системи.",,
50,AR,"إن ""الاقتصاد المركزي الحر"" (freie Zentralwirtschaft) متناقض. فالاقتصاد المركزي يعني سيطرة الدولة، مما ينفي جانب ""الحر"".",,الاقتصاد المركزي الموجه (gelenkte Zentralwirtschaft) هو اقتصاد مخطط تملي فيه الدولة الإنتاج والتوزيع، على عكس النظام الألماني.,,
51,EN,"Criticizing the government is a fundamental right in a democracy, enshrined in freedom of speech.  It allows for public discourse and holds the government accountable.","Peaceful demonstrations are a cornerstone of democratic expression, allowing citizens to voice their opinions and concerns publicly.",,,
51,DE,"Die Regierung zu kritisieren ist ein Grundrecht in einer Demokratie, verankert in der Meinungsfreiheit. Es ermöglicht öffentlichen Diskurs und hält die Regierung rechenschaftspflichtig.","Friedliche Demonstrationen sind ein Eckpfeiler der demokratischen Meinungsäußerung und ermöglichen es den Bürgern, ihre Meinungen und Anliegen öffentlich zu äußern.",,,
51,TR,"Hükümeti eleştirmek, ifade özgürlüğünde yer alan demokratik bir haktır.  Kamusal söyleme olanak tanır ve hükümeti sorumlu tutar.","Barışçıl gösteriler, demokratik ifade etmenin temel taşlarından biridir ve vatandaşların görüşlerini ve endişelerini kamuoyu önünde dile getirmelerine olanak tanır.",,,
51,UK,"Критика уряду є фундаментальним правом у демократії, закріпленим у свободі слова. Це дозволяє вести публічний дискурс і притягувати уряд до відповідальності.","Мирні демонстрації є наріжним каменем демократичного волевиявлення, що дозволяє громадянам публічно висловлювати свою думку та занепокоєння.",,,
51,AR,انتقاد الحكومة هو حق أساسي في الديمقراطية، مكرس في حرية التعبير. يسمح بالحوار العام ويحاسب الحكومة.,المظاهرات السلمية هي حجر الزاوية في التعبير الديمقراطي، مما يسمح للمواطنين بالتعبير عن آرائهم واهتماماتهم علنًا.,,,
52,EN,,"The Bundestag (Parliament) is an important institution, but it derives its power from the people through elections. It doesn't inherently possess power.","The Prussian King is a historical figure.  Germany is now a federal republic, and monarchy is no longer the source of governmental authority.",,
52,DE,,"Der Bundestag ist eine wichtige Institution, aber er leitet seine Macht durch Wahlen vom Volk ab. Er besitzt nicht inhärent Macht.","Der preußische König ist eine historische Figur. Deutschland ist heute eine Bundesrepublik, und die Monarchie ist nicht mehr die Quelle staatlicher Autorität.",,
52,TR,,"Bundestag (Parlamento) önemli bir kurumdur, ancak gücünü seçim yoluyla halktan alır. Doğal olarak güce sahip değildir.",Prusya Kralı tarihi bir şahsiyettir. Almanya artık bir federal cumhuriyettir ve monarşi artık hükümet yetkisinin kaynağı değildir.,,
52,UK,,"Бундестаг (парламент) – важлива установа, але він отримує свою владу від народу через вибори. Він не має влади сам по собі.","Прусський король – історична постать. Німеччина зараз є федеративною республікою, і монархія більше не є джерелом державної влади.",,
52,AR,,البوندستاغ (البرلمان) مؤسسة مهمة، لكنه يستمد سلطته من الشعب من خلال الانتخابات. إنه لا يملك السلطة في حد ذاته.,الملك البروسي شخصية تاريخية. ألمانيا الآن جمهورية اتحادية، ولم تعد الملكية مصدر السلطة الحكومية.,,
