id,question,options,correct,category,difficulty,question_type,state,page_number,is_image_question,image_paths,image_mapping
91,In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …,"[""schwieriger, wenn sich dadurch die Mehrheit im Bundestag \u00e4ndert."", ""leichter, wenn dadurch neue Parteien in den Bundesrat kommen."", ""schwieriger, wenn dadurch die Mehrheit im Bundesrat ver\u00e4ndert wird."", ""leichter, wenn es sich um ein reiches Bundesland handelt.""]","schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.",Föderalismus,hard,general,,31,False,[],
92,Was bedeutet die Abkürzung CSU in Deutschland?,"[""Christlich Sichere Union"", ""Christlich S\u00fcddeutsche Union"", ""Christlich Sozialer Unternehmerverband"", ""Christlich Soziale Union""]",Christlich Soziale Union,Demokratie und Wahlen,easy,general,,31,False,[],
93,"Je mehr ""Zweitstimmen"" eine Partei bei einer Bundestagswahl bekommt, desto …","[""weniger Erststimmen kann sie haben."", ""mehr Direktkandidaten der Partei ziehen ins Parlament ein."", ""gr\u00f6\u00dfer ist das Risiko, eine Koalition bilden zu m\u00fcssen."", ""mehr Sitze erh\u00e4lt die Partei im Parlament.""]",mehr Sitze erhält die Partei im Parlament.,Demokratie und Wahlen,medium,general,,31,False,[],
94,Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?,"[""16"", ""18"", ""21"", ""23""]",18,Demokratie und Wahlen,easy,general,,32,False,[],
95,Was gilt für die meisten Kinder in Deutschland?,"[""Wahlpflicht"", ""Schulpflicht"", ""Schweigepflicht"", ""Religionspflicht""]",Schulpflicht,Kultur und Gesellschaft,easy,general,,32,False,[],
96,"Wie kann jemand, der den Holocaust leugnet, bestraft werden?","[""K\u00fcrzung sozialer Leistungen"", ""bis zu 100 Sozialstunden"", ""gar nicht, Holocaustleugnung ist erlaubt"", ""mit Freiheitsstrafe bis zu f\u00fcnf Jahren oder mit Geldstrafe""]",mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe,Rechtssystem,medium,general,,32,False,[],
97,"Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?","[""Sozialversicherung"", ""Sozialhilfe"", ""Kindergeld"", ""Wohngeld""]",Sozialversicherung,Kultur und Gesellschaft,easy,general,,33,False,[],
98,"Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, …","[""d\u00fcrfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen."", ""kann die Regierung ihre Mehrheit verlieren."", ""muss die Bundespr\u00e4sidentin/der Bundespr\u00e4sident zuvor ihr/sein Einverst\u00e4ndnis geben."", ""d\u00fcrfen die W\u00e4hlerinnen/W\u00e4hler dieser Abgeordneten noch einmal w\u00e4hlen.""]",kann die Regierung ihre Mehrheit verlieren.,Demokratie und Wahlen,medium,general,,33,False,[],
99,Wer bezahlt in Deutschland die Sozialversicherungen?,"[""Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer"", ""nur Arbeitnehmerinnen/Arbeitnehmer"", ""alle Staatsangeh\u00f6rigen"", ""nur Arbeitgeberinnen/Arbeitgeber""]",Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer,Kultur und Gesellschaft,easy,general,,33,False,[],
100,Was gehört nicht zur gesetzlichen Sozialversicherung?,"[""die Lebensversicherung"", ""die gesetzliche Rentenversicherung"", ""die Arbeitslosenversicherung"", ""die Pflegeversicherung""]",die Lebensversicherung,Kultur und Gesellschaft,easy,general,,34,False,[],
101,Gewerkschaften sind Interessenverbände der …,"[""Jugendlichen."", ""Arbeitnehmerinnen und Arbeitnehmer."", ""Rentnerinnen und Rentner."", ""Arbeitgeberinnen und Arbeitgeber.""]",Arbeitnehmerinnen und Arbeitnehmer.,Kultur und Gesellschaft,easy,general,,34,False,[],
102,"Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …","[""Bundesverdienstkreuz"", ""Bundesadler"", ""Vaterl\u00e4ndischen Verdienstorden"", ""Ehrentitel \""Held der Deutschen Demokratischen Republik\""""]",Bundesverdienstkreuz,Kultur und Gesellschaft,medium,general,,34,False,[],
103,"Was wird in Deutschland als ""Ampelkoalition"" bezeichnet? Die Zusammenarbeit …","[""der Bundestagsfraktionen von CDU und CSU"", ""von SPD, FDP und B\u00fcndnis 90/Die Gr\u00fcnen in einer Regierung"", ""von CSU, Die LINKE und B\u00fcndnis 90/Die Gr\u00fcnen in einer Regierung"", ""der Bundestagsfraktionen von CDU und SPD""]","von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung",Demokratie und Wahlen,easy,general,,35,False,[],
104,Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?,"[""Die Frau ist lange krank und arbeitsunf\u00e4hig."", ""Die Frau kam oft zu sp\u00e4t zur Arbeit."", ""Die Frau erledigt private Sachen w\u00e4hrend der Arbeitszeit."", ""Die Frau bekommt ein Kind und ihr Chef wei\u00df das.""]",Die Frau bekommt ein Kind und ihr Chef weiß das.,Rechtssystem,medium,general,,35,False,[],
105,Was ist eine Aufgabe von Wahlhelferinnen/Wahlhelfern in Deutschland?,"[""Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine."", ""Sie schreiben die Wahlbenachrichtigungen vor der Wahl."", ""Sie geben Zwischenergebnisse an die Medien weiter."", ""Sie z\u00e4hlen die Stimmen nach dem Ende der Wahl.""]",Sie zählen die Stimmen nach dem Ende der Wahl.,Demokratie und Wahlen,easy,general,,35,False,[],
106,In Deutschland helfen ehrenamtliche Wahlhelferinnen und Wahlhelfer bei den Wahlen. Was ist eine Aufgabe von Wahlhelferinnen/Wahlhelfern?,"[""Sie helfen Kindern und alten Menschen beim W\u00e4hlen."", ""Sie schreiben Karten und Briefe mit der Angabe des Wahllokals."", ""Sie geben Zwischenergebnisse an Journalisten weiter."", ""Sie z\u00e4hlen die Stimmen nach dem Ende der Wahl.""]",Sie zählen die Stimmen nach dem Ende der Wahl.,Demokratie und Wahlen,easy,general,,36,False,[],
107,Für wie viele Jahre wird der Bundestag in Deutschland gewählt?,"[""2 Jahre"", ""4 Jahre"", ""6 Jahre"", ""8 Jahre""]",4 Jahre,Demokratie und Wahlen,easy,general,,36,False,[],
108,"Bei einer Bundestagswahl in Deutschland darf jede/jeder wählen, die/der …","[""in der Bundesrepublik Deutschland wohnt und w\u00e4hlen m\u00f6chte."", ""B\u00fcrgerin/B\u00fcrger der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist."", ""seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt."", ""B\u00fcrgerin/B\u00fcrger der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.""]",Bürgerin/Bürger der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.,Demokratie und Wahlen,easy,general,,36,False,[],
109,Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?,"[""alle drei Jahre"", ""alle vier Jahre"", ""alle f\u00fcnf Jahre"", ""alle sechs Jahre""]",alle vier Jahre,Demokratie und Wahlen,easy,general,,37,False,[],
110,Für wie viele Jahre wird der Bundestag in Deutschland gewählt?,"[""2 Jahre"", ""3 Jahre"", ""4 Jahre"", ""5 Jahre""]",4 Jahre,Demokratie und Wahlen,easy,general,,37,False,[],
111,Welche Handlungen mit Bezug auf den Staat Israel sind in Deutschland verboten?,"[""die Politik Israels \u00f6ffentlich kritisieren"", ""das Aufh\u00e4ngen einer israelischen Flagge auf dem Privatgrundst\u00fcck"", ""eine Diskussion \u00fcber die Politik Israels"", ""der \u00f6ffentliche Aufruf zur Vernichtung Israels""]",der öffentliche Aufruf zur Vernichtung Israels,Rechtssystem,medium,general,,37,False,[],
112,Die Wahlen in Deutschland sind …,"[""speziell."", ""geheim."", ""berufsbezogen."", ""geschlechtsabh\u00e4ngig.""]",geheim.,Demokratie und Wahlen,easy,general,,38,False,[],
113,"Wahlen in Deutschland gewinnt die Partei, die …","[""die meisten Stimmen bekommt."", ""die meisten M\u00e4nner mehrheitlich gew\u00e4hlt haben."", ""die meisten Stimmen bei den Arbeiterinnen/Arbeitern bekommen hat."", ""die meisten Erststimmen f\u00fcr ihre Kanzlerkandidatin/ihren Kanzlerkandidaten erhalten hat.""]",die meisten Stimmen bekommt.,Demokratie und Wahlen,easy,general,,38,False,[],
114,An demokratischen Wahlen in Deutschland teilzunehmen ist …,"[""eine Pflicht."", ""ein Recht."", ""ein Zwang."", ""eine Last.""]",ein Recht.,Demokratie und Wahlen,easy,general,,38,False,[],
115,"Was bedeutet ""aktives Wahlrecht"" in Deutschland?","[""Man kann gew\u00e4hlt werden."", ""Man muss w\u00e4hlen gehen."", ""Man kann w\u00e4hlen."", ""Man muss zur Ausz\u00e4hlung der Stimmen gehen.""]",Man kann wählen.,Demokratie und Wahlen,medium,general,,39,False,[],
116,"Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …","[""aktive Wahlkampagne."", ""aktives Wahlverfahren."", ""aktiver Wahlkampf."", ""aktives Wahlrecht.""]",aktives Wahlrecht.,Demokratie und Wahlen,easy,general,,39,False,[],
117,"Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?","[""3%"", ""4%"", ""5%"", ""6%""]",5%,Demokratie und Wahlen,easy,general,,39,False,[],
118,Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?,"[""nur Deutsche"", ""nur Israelis"", ""nur religi\u00f6se Menschen"", ""alle Menschen""]",alle Menschen,Kultur und Gesellschaft,medium,general,,40,False,[],
119,Wahlen in Deutschland sind frei. Was bedeutet das?,"[""Alle verurteilten Straft\u00e4terinnen/Straft\u00e4ter d\u00fcrfen nicht w\u00e4hlen."", ""Wenn ich w\u00e4hlen gehen m\u00f6chte, muss meine Arbeitgeberin/mein Arbeitgeber mir frei geben."", ""Jede Person kann ohne Zwang entscheiden, ob sie w\u00e4hlen m\u00f6chte und wen sie w\u00e4hlen m\u00f6chte."", ""Ich kann frei entscheiden, wo ich w\u00e4hlen gehen m\u00f6chte.""]","Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte.",Demokratie und Wahlen,easy,general,,40,False,[],
120,Das Wahlsystem in Deutschland ist ein …,"[""Zensuswahlrecht."", ""Dreiklassenwahlrecht."", ""Mehrheits- und Verh\u00e4ltniswahlrecht."", ""allgemeines M\u00e4nnerwahlrecht.""]",Mehrheits- und Verhältniswahlrecht.,Demokratie und Wahlen,medium,general,,40,False,[],
121,Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …,"[""5%-H\u00fcrde."", ""Zulassungsgrenze."", ""Basiswert."", ""Richtlinie.""]",5%-Hürde.,Demokratie und Wahlen,easy,general,,41,False,[],
122,Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …,"[""frei, gleich, geheim."", ""offen, sicher, frei."", ""geschlossen, gleich, sicher."", ""sicher, offen, freiwillig.""]","frei, gleich, geheim.",Demokratie und Wahlen,easy,general,,41,False,[],
123,"Was ist in Deutschland die ""5%-Hürde""?","[""Abstimmungsregelung im Bundestag f\u00fcr kleine Parteien"", ""Anwesenheitskontrolle im Bundestag f\u00fcr Abstimmungen"", ""Mindestanteil an W\u00e4hlerstimmen, um ins Parlament zu kommen"", ""Anwesenheitskontrolle im Bundesrat f\u00fcr Abstimmungen""]","Mindestanteil an Wählerstimmen, um ins Parlament zu kommen",Demokratie und Wahlen,easy,general,,41,False,[],
124,Die Bundestagswahl in Deutschland ist die Wahl …,"[""der Bundeskanzlerin/des Bundeskanzlers."", ""der Parlamente der L\u00e4nder."", ""des Parlaments f\u00fcr Deutschland."", ""der Bundespr\u00e4sidentin/des Bundespr\u00e4sidenten.""]",des Parlaments für Deutschland.,Demokratie und Wahlen,easy,general,,42,False,[],
125,"In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …","[""die B\u00fcrgerinnen und B\u00fcrger zu zwingen, ihre Stimme abzugeben."", ""nach dem Willen der W\u00e4hlermehrheit den Wechsel der Regierung zu erm\u00f6glichen."", ""im Land bestehende Gesetze beizubehalten."", ""den Armen mehr Macht zu geben.""]",nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.,Demokratie und Wahlen,medium,general,,42,False,[],
126,Was bekommen wahlberechtigte Bürgerinnen und Bürger in Deutschland vor einer Wahl?,"[""eine Wahlbenachrichtigung von der Gemeinde"", ""eine Wahlerlaubnis von der Bundespr\u00e4sidentin/von dem Bundespr\u00e4sidenten"", ""eine Benachrichtigung von der Bundesversammlung"", ""eine Benachrichtigung vom Pfarramt""]",eine Wahlbenachrichtigung von der Gemeinde,Demokratie und Wahlen,easy,general,,42,False,[],
127,"Warum gibt es die 5%-Hürde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil …","[""die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben."", ""die B\u00fcrgerinnen und B\u00fcrger bei vielen kleinen Parteien die Orientierung verlieren k\u00f6nnen."", ""viele kleine Parteien die Regierungsbildung erschweren."", ""die kleinen Parteien nicht so viel Geld haben, um die Politikerinnen und Politiker zu bezahlen.""]",viele kleine Parteien die Regierungsbildung erschweren.,Demokratie und Wahlen,medium,general,,43,False,[],
128,"Parlamentsmitglieder, die von den Bürgerinnen und Bürgern gewählt werden, nennt man …","[""Abgeordnete."", ""Kanzlerinnen/Kanzler."", ""Botschafterinnen/Botschafter."", ""Ministerpr\u00e4sidentinnen/Ministerpr\u00e4sidenten.""]",Abgeordnete.,Demokratie und Wahlen,easy,general,,43,False,[],
129,Vom Volk gewählt wird in Deutschland …,"[""die Bundeskanzlerin/der Bundeskanzler."", ""die Ministerpr\u00e4sidentin/der Ministerpr\u00e4sident eines Bundeslandes."", ""der Bundestag."", ""die Bundespr\u00e4sidentin/der Bundespr\u00e4sident.""]",der Bundestag.,Demokratie und Wahlen,medium,general,,43,False,[],
130,Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?,"[""1"", ""2"", ""3"", ""4""]",1,Demokratie und Wahlen,medium,general,,44,False,[],single
131,In Deutschland ist eine Bürgermeisterin/ein Bürgermeister …,"[""die Leiterin/der Leiter einer Schule."", ""die Chefin/der Chef einer Bank."", ""das Oberhaupt einer Gemeinde."", ""die/der Vorsitzende einer Partei.""]",das Oberhaupt einer Gemeinde.,Föderalismus,easy,general,,44,False,[],
132,Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?,"[""Sie arbeiten als Soldatinnen/Soldaten."", ""Sie arbeiten freiwillig und unbezahlt in Vereinen und Verb\u00e4nden."", ""Sie arbeiten in der Bundesregierung."", ""Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.""]",Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.,Kultur und Gesellschaft,easy,general,,44,False,[],
133,Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?,"[""Der Ehemann w\u00e4hlt f\u00fcr seine Frau mit."", ""Man kann durch Briefwahl seine Stimme abgeben."", ""Man kann am Wahltag telefonisch seine Stimme abgeben."", ""Kinder ab dem Alter von 14 Jahren d\u00fcrfen w\u00e4hlen.""]",Man kann durch Briefwahl seine Stimme abgeben.,Demokratie und Wahlen,easy,general,,45,False,[],
134,"Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?","[""Ich beteilige mich an einer B\u00fcrgerinitiative f\u00fcr die Erhaltung der Buslinie oder gr\u00fcnde selber eine Initiative."", ""Ich werde Mitglied in einem Sportverein und trainiere Radfahren."", ""Ich wende mich an das Finanzamt, weil ich als Steuerzahlerin/Steuerzahler ein Recht auf die Buslinie habe."", ""Ich schreibe einen Brief an das Forstamt der Gemeinde.""]",Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.,Demokratie und Wahlen,medium,general,,45,False,[],
135,Wen vertreten die Gewerkschaften in Deutschland?,"[""gro\u00dfe Unternehmen"", ""kleine Unternehmen"", ""Selbstst\u00e4ndige"", ""Arbeitnehmerinnen und Arbeitnehmer""]",Arbeitnehmerinnen und Arbeitnehmer,Kultur und Gesellschaft,easy,general,,45,False,[],
136,Sie gehen in Deutschland zum Arbeitsgericht bei …,"[""falscher Nebenkostenabrechnung."", ""ungerechtfertigter K\u00fcndigung durch Ihre Chefin/Ihren Chef."", ""Problemen mit den Nachbarinnen/Nachbarn."", ""Schwierigkeiten nach einem Verkehrsunfall.""]",ungerechtfertigter Kündigung durch Ihre Chefin/Ihren Chef.,Rechtssystem,easy,general,,46,False,[],
137,Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?,"[""das Familiengericht"", ""das Strafgericht"", ""das Arbeitsgericht"", ""das Amtsgericht""]",das Arbeitsgericht,Rechtssystem,easy,general,,46,False,[],
138,"Was kann ich in Deutschland machen, wenn mir meine Arbeitgeberin/mein Arbeitgeber zu Unrecht gekündigt hat?","[""weiterarbeiten und freundlich zur Chefin/zum Chef sein"", ""ein Mahnverfahren gegen die Arbeitgeberin/den Arbeitgeber f\u00fchren"", ""K\u00fcndigungsschutzklage erheben"", ""die Arbeitgeberin/den Arbeitgeber bei der Polizei anzeigen""]",Kündigungsschutzklage erheben,Rechtssystem,medium,general,,46,False,[],
139,Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand …,"[""zu einer anderen Religion \u00fcbertritt."", ""eine Straftat begangen hat und angeklagt wird."", ""eine andere Meinung als die der Regierung vertritt."", ""sein Auto falsch geparkt hat und es abgeschleppt wird.""]",eine Straftat begangen hat und angeklagt wird.,Rechtssystem,easy,general,,47,False,[],
140,Was macht eine Schöffin/ein Schöffe in Deutschland? Sie/Er …,"[""entscheidet mit Richterinnen/Richtern \u00fcber Schuld und Strafe."", ""gibt B\u00fcrgerinnen/B\u00fcrgern rechtlichen Rat."", ""stellt Urkunden aus."", ""verteidigt die Angeklagte/den Angeklagten.""]",entscheidet mit Richterinnen/Richtern über Schuld und Strafe.,Rechtssystem,medium,general,,47,False,[],
141,Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?,"[""eine Rechtsanw\u00e4ltin/ein Rechtsanwalt"", ""eine Richterin/ein Richter"", ""eine Sch\u00f6ffin/ein Sch\u00f6ffe"", ""eine Staatsanw\u00e4ltin/ein Staatsanwalt""]",eine Rechtsanwältin/ein Rechtsanwalt,Rechtssystem,easy,general,,47,False,[],
142,Was ist die Hauptaufgabe einer Richterin/eines Richters in Deutschland? Eine Richterin/ein Richter …,"[""vertritt B\u00fcrgerinnen und B\u00fcrger vor einem Gericht."", ""arbeitet an einem Gericht und spricht Urteile."", ""\u00e4ndert Gesetze."", ""betreut Jugendliche vor Gericht.""]",arbeitet an einem Gericht und spricht Urteile.,Rechtssystem,easy,general,,48,False,[],
143,Eine Richterin/ein Richter in Deutschland gehört zur …,"[""Judikative."", ""Exekutive."", ""Operative."", ""Legislative.""]",Judikative.,Rechtssystem,easy,general,,48,False,[],
144,Eine Richterin/ein Richter gehört in Deutschland zur …,"[""vollziehenden Gewalt."", ""rechtsprechenden Gewalt."", ""planenden Gewalt."", ""gesetzgebenden Gewalt.""]",rechtsprechenden Gewalt.,Rechtssystem,easy,general,,48,False,[],
145,In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet eine Richterin/ein Richter? Für die …,"[""Judikative"", ""Exekutive"", ""Presse"", ""Legislative""]",Judikative,Rechtssystem,easy,general,,49,False,[],
146,Wie nennt man in Deutschland ein Verfahren vor einem Gericht?,"[""Programm"", ""Prozedur"", ""Protokoll"", ""Prozess""]",Prozess,Rechtssystem,easy,general,,49,False,[],
147,Was ist die Arbeit einer Richterin/eines Richters in Deutschland?,"[""Deutschland regieren"", ""Recht sprechen"", ""Pl\u00e4ne erstellen"", ""Gesetze erlassen""]",Recht sprechen,Rechtssystem,easy,general,,49,False,[],
148,Was ist eine Aufgabe der Polizei in Deutschland?,"[""das Land zu verteidigen"", ""die B\u00fcrgerinnen und B\u00fcrger abzuh\u00f6ren"", ""die Gesetze zu beschlie\u00dfen"", ""die Einhaltung von Gesetzen zu \u00fcberwachen""]",die Einhaltung von Gesetzen zu überwachen,Rechtssystem,easy,general,,50,False,[],
149,Was ist ein Beispiel für antisemitisches Verhalten?,"[""ein j\u00fcdisches Fest besuchen"", ""die israelische Regierung kritisieren"", ""den Holocaust leugnen"", ""gegen Juden Fu\u00dfball spielen.""]",den Holocaust leugnen,Geschichte,medium,general,,50,False,[],
150,Eine Gerichtsschöffin/ein Gerichtsschöffe in Deutschland ist …,"[""die Stellvertreterin/der Stellvertreter des Stadtoberhaupts."", ""eine ehrenamtliche Richterin/ein ehrenamtlicher Richter."", ""ein Mitglied eines Gemeinderats."", ""eine Person, die Jura studiert hat.""]",eine ehrenamtliche Richterin/ein ehrenamtlicher Richter.,Rechtssystem,medium,general,,50,False,[],
151,Wer baute die Mauer in Berlin?,"[""Gro\u00dfbritannien"", ""die DDR"", ""die Bundesrepublik Deutschland"", ""die USA""]",die DDR,Geschichte,easy,general,,51,False,[],
152,Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?,"[""1918 bis 1923"", ""1932 bis 1950"", ""1933 bis 1945"", ""1945 bis 1989""]",1933 bis 1945,Geschichte,easy,general,,51,False,[],
153,Was war am 8. Mai 1945?,"[""Tod Adolf Hitlers"", ""Beginn des Berliner Mauerbaus"", ""Wahl von Konrad Adenauer zum Bundeskanzler"", ""Ende des Zweiten Weltkriegs in Europa""]",Ende des Zweiten Weltkriegs in Europa,Geschichte,easy,general,,51,False,[],
154,Wann war der Zweite Weltkrieg zu Ende?,"[""1933"", ""1945"", ""1949"", ""1961""]",1945,Geschichte,easy,general,,52,False,[],
155,Wann waren die Nationalsozialisten in Deutschland an der Macht?,"[""1888 bis 1918"", ""1921 bis 1934"", ""1933 bis 1945"", ""1949 bis 1963""]",1933 bis 1945,Geschichte,easy,general,,52,False,[],
156,In welchem Jahr wurde Hitler Reichskanzler?,"[""1923"", ""1927"", ""1933"", ""1936""]",1933,Geschichte,easy,general,,52,False,[],
157,Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland …,"[""eine Diktatur."", ""einen demokratischen Staat."", ""eine Monarchie."", ""ein F\u00fcrstentum.""]",eine Diktatur.,Geschichte,easy,general,,53,False,[],
158,"Das ""Dritte Reich"" war eine …","[""Diktatur."", ""Demokratie."", ""Monarchie."", ""R\u00e4terepublik.""]",Diktatur.,Geschichte,easy,general,,53,False,[],
159,Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?,"[""freie Wahlen"", ""Pressezensur"", ""willk\u00fcrliche Verhaftungen"", ""Verfolgung von Juden""]",freie Wahlen,Geschichte,medium,general,,53,False,[],
160,Welcher Krieg dauerte von 1939 bis 1945?,"[""der Erste Weltkrieg"", ""der Zweite Weltkrieg"", ""der Vietnamkrieg"", ""der Golfkrieg""]",der Zweite Weltkrieg,Geschichte,easy,general,,54,False,[],
161,Was kennzeichnete den NS-Staat? Eine Politik …,"[""des staatlichen Rassismus"", ""der Meinungsfreiheit"", ""der allgemeinen Religionsfreiheit"", ""der Entwicklung der Demokratie""]",des staatlichen Rassismus,Geschichte,easy,general,,54,False,[],
162,Claus Schenk Graf von Stauffenberg wurde bekannt durch …,"[""eine Goldmedaille bei den Olympischen Spielen 1936."", ""den Bau des Reichstagsgeb\u00e4udes."", ""den Aufbau der Wehrmacht."", ""das Attentat auf Hitler am 20. Juli 1944.""]",das Attentat auf Hitler am 20. Juli 1944.,Geschichte,medium,general,,54,False,[],
163,In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?,"[""1925"", ""1930"", ""1938"", ""1945""]",1938,Geschichte,easy,general,,55,False,[],
164,Was passierte am 9. November 1938 in Deutschland?,"[""Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg."", ""Die Nationalsozialisten verlieren eine Wahl und l\u00f6sen den Reichstag auf."", ""J\u00fcdische Gesch\u00e4fte und Synagogen werden durch Nationalsozialisten und ihre Anh\u00e4nger zerst\u00f6rt."", ""Hitler wird Reichspr\u00e4sident und l\u00e4sst alle Parteien verbieten.""]",Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört.,Geschichte,medium,general,,55,False,[],
165,Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?,"[""Konrad Adenauer"", ""Kurt Georg Kiesinger"", ""Helmut Schmidt"", ""Willy Brandt""]",Konrad Adenauer,Geschichte,easy,general,,55,False,[],
166,"Bei welchen Demonstrationen in Deutschland riefen die Menschen ""Wir sind das Volk""?","[""beim Arbeiteraufstand 1953 in der DDR"", ""bei den Demonstrationen 1968 in der Bundesrepublik Deutschland"", ""bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland"", ""bei den Montagsdemonstrationen 1989 in der DDR""]",bei den Montagsdemonstrationen 1989 in der DDR,Geschichte,medium,general,,56,False,[],
167,"Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als ""Alliierte Besatzungsmächte"" bezeichnet?","[""Sowjetunion, Gro\u00dfbritannien, Polen, Schweden"", ""Frankreich, Sowjetunion, Italien, Japan"", ""USA, Sowjetunion, Spanien, Portugal"", ""USA, Sowjetunion, Gro\u00dfbritannien, Frankreich""]","USA, Sowjetunion, Großbritannien, Frankreich",Geschichte,easy,general,,56,False,[],
168,"Welches Land war keine ""Alliierte Besatzungsmacht"" in Deutschland?","[""USA"", ""Sowjetunion"", ""Frankreich"", ""Japan""]",Japan,Geschichte,easy,general,,56,False,[],
169,Wann wurde die Bundesrepublik Deutschland gegründet?,"[""1939"", ""1945"", ""1949"", ""1951""]",1949,Geschichte,easy,general,,57,False,[],
170,Was gab es während der Zeit des Nationalsozialismus in Deutschland?,"[""das Verbot von Parteien"", ""das Recht zur freien Entfaltung der Pers\u00f6nlichkeit"", ""Pressefreiheit"", ""den Schutz der Menschenw\u00fcrde""]",das Verbot von Parteien,Geschichte,medium,general,,57,False,[],
171,"Soziale Marktwirtschaft bedeutet, die Wirtschaft …","[""steuert sich allein nach Angebot und Nachfrage."", ""wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht ber\u00fccksichtigt."", ""richtet sich nach der Nachfrage im Ausland."", ""richtet sich nach Angebot und Nachfrage, aber der Staat sorgt f\u00fcr einen sozialen Ausgleich.""]","richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich.",Kultur und Gesellschaft,medium,general,,57,False,[],
172,In welcher Besatzungszone wurde die DDR gegründet? In der …,"[""amerikanischen Besatzungszone"", ""franz\u00f6sischen Besatzungszone"", ""britischen Besatzungszone"", ""sowjetischen Besatzungszone""]",sowjetischen Besatzungszone,Geschichte,easy,general,,58,False,[],
173,Die Bundesrepublik Deutschland ist ein Gründungsmitglied …,"[""des Nordatlantikpakts (NATO)."", ""der Vereinten Nationen (VN)."", ""der Europ\u00e4ischen Union (EU)."", ""des Warschauer Pakts.""]",der Europäischen Union (EU).,Geschichte,medium,general,,58,False,[],
174,Wann wurde die DDR gegründet?,"[""1947"", ""1949"", ""1953"", ""1956""]",1949,Geschichte,easy,general,,58,False,[],
175,Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?,"[""3"", ""4"", ""5"", ""6""]",4,Geschichte,easy,general,,59,False,[],
